region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
131,504.5914639884551,2018.0,371,3,2,6.0,7622,152.20681947976908,8589,1764,2134,6564,1816,2026,4238,32.59,-85.48
131,660.5337042560994,2017.0,1605,10,2,6.0,7622,219.11217940208027,8589,1764,3088,6564,1854,711,4238,32.59,-85.48
131,550.2929941939877,2018.0,371,5,2,6.0,7622,89.22829333929161,8589,1764,2134,6564,1816,1700,4238,32.59,-85.48
131,564.9208512860552,2013.0,1605,15,2,6.0,663,113.5959067030294,8589,1764,2541,6564,1096,1115,4238,32.59,-85.48
131,715.7472723285367,2020.0,484,21,2,6.0,7622,97.84709476871838,8589,1764,3088,6564,498,1700,4238,32.59,-85.48
131,665.6903304836409,2012.0,696,9,2,6.0,7622,179.20529285483764,8589,1764,3088,6564,1096,2026,4238,32.59,-85.48
131,758.706594954402,2019.0,1605,7,2,6.0,7622,92.76412712281447,8589,1764,2541,6564,1096,1700,4238,32.59,-85.48
131,612.7217215630914,2015.0,182,7,2,6.0,663,198.90533490580404,8589,1764,2541,6564,260,2026,4238,32.59,-85.48
131,703.4774482922774,2018.0,51,5,2,6.0,663,147.2388306597159,8589,1764,2541,6564,498,2026,4238,32.59,-85.48
131,652.743221261089,2020.0,116,2,2,6.0,7622,6.131398471642682,8589,1764,2541,6564,498,2026,4238,32.59,-85.48
131,727.865546248091,2020.0,182,9,2,6.0,7622,47.270645521192186,8589,1764,2134,6564,260,1336,4238,32.59,-85.48
131,174.81162742974814,2004.0,128,10,2,6.0,7622,317.2623449243216,8589,6686,2134,766,112,1115,4238,32.629409,-85.484447
131,564.9208512860552,2016.0,72,2,2,6.0,7622,178.48082693138616,8589,1764,2541,6564,1816,1700,4238,32.59,-85.48
131,751.6715347607627,2019.0,72,5,2,6.0,7622,90.4138971665776,8589,1764,2541,6564,1816,2026,4238,32.59,-85.48
131,691.0494960387041,2020.0,72,4,2,6.0,7622,121.20788628283631,8589,1764,2134,6564,1816,1700,4238,32.59,-85.48
131,647.5116879825199,2019.0,72,4,2,6.0,7622,126.82176066464841,8589,1764,2134,6564,1816,1336,4238,32.59,-85.48
131,691.0494960387041,2018.0,134,18,2,6.0,7622,128.62095458781732,8589,1764,2541,6564,498,1700,4238,32.59,-85.48
131,526.2787746732753,2015.0,116,15,2,6.0,663,248.03022218304497,8589,1764,2541,6564,1854,1115,4238,32.59,-85.48
131,660.5337042560994,2017.0,103,10,2,6.0,7622,165.102132296048,8589,1764,2541,6564,1816,1336,4238,32.59,-85.48
131,665.6903304836409,2018.0,34,11,2,6.0,663,147.89760841842258,8589,1764,2541,6564,260,1700,4238,32.59,-85.48
131,141.9412423137064,2006.0,204,27,1,4.0,7622,249.0729662636615,8589,6686,2541,6564,260,1700,4238,32.5475,-85.4682
131,535.3760276341258,2013.0,169,9,2,6.0,7622,226.8749804797491,8589,1764,2541,6564,498,1115,4238,32.59,-85.48
131,660.5337042560994,2018.0,134,6,2,6.0,7622,109.76753183708122,8589,1764,2134,6564,1816,1700,4238,32.59,-85.48
131,472.37233707248697,2015.0,179,5,2,6.0,7622,147.17113539997965,8589,1764,2134,6564,1816,2026,4238,32.59,-85.48
131,715.7472723285367,2017.0,347,5,2,8.0,7622,122.51320434097184,8589,1764,3088,6564,1096,711,4238,32.59,-85.48
131,746.9546942518701,2019.0,357,8,2,8.0,7622,113.77027490315805,8589,1764,3088,6564,1096,711,4238,32.59,-85.48
131,660.5337042560994,2013.0,357,10,2,8.0,7622,169.89833965505247,8589,1764,2541,6564,1096,1115,4238,32.59,-85.48
131,793.1933114637816,2019.0,1605,3,2,8.0,663,95.57519051922179,8589,1764,3088,6564,1096,2026,4238,32.59,-85.48
131,715.7472723285367,2018.0,484,6,2,6.0,7622,163.78969088447923,8589,1764,3088,6564,498,2026,4238,32.59,-85.48
131,831.0012195830445,2019.0,484,9,2,6.0,7622,69.80438393459747,8589,1764,3088,6564,1854,1336,4238,32.59,-85.48
131,774.9397178097581,2017.0,484,10,2,6.0,7622,132.64289955714736,8589,1764,3088,6564,498,869,4238,32.59,-85.48
131,781.8212349893031,2018.0,484,11,2,6.0,7622,135.78598973416769,8589,1764,3088,6564,1854,1115,4238,32.59,-85.48
131,341.8385357707855,2003.0,128,10,0,6.0,7622,155.2437991709234,8589,6686,2134,766,112,711,4238,32.614209,-85.326357
131,647.5116879825199,2018.0,357,11,2,6.0,7622,132.80041263774882,8589,1764,2134,6564,1854,2026,4238,32.59,-85.48
131,472.37233707248697,2013.0,103,5,2,6.0,7622,206.39557392845595,8589,1764,2134,6564,1816,869,4238,32.59,-85.48
131,652.743221261089,2017.0,357,6,2,6.0,7622,125.43612815545603,8589,1764,2134,6564,1854,1700,4238,32.59,-85.48
131,535.3760276341258,2017.0,103,3,2,6.0,7622,167.2112506810737,8589,1764,2134,6564,1816,1700,4238,32.59,-85.48
131,626.2690929128136,2015.0,182,3,2,6.0,7622,153.90344592644246,8589,1764,2134,6564,260,869,4238,32.59,-85.48
131,626.2690929128136,2016.0,182,3,2,6.0,7622,157.28459328405907,8589,1764,2134,6564,260,2026,4238,32.59,-85.48
131,564.9208512860552,2020.0,116,8,2,6.0,663,74.7585167143159,8589,1764,2541,6564,1854,869,4238,32.59,-85.48
131,739.8383953097043,2018.0,51,8,2,6.0,7622,91.99483958217057,8589,1764,2541,6564,498,1336,4238,32.59,-85.48
131,487.22446582481285,2008.0,696,7,2,6.0,7622,334.89243739623544,8589,433,3088,1262,29,1336,4238,32.6024,-85.4873
131,261.74122528166464,2007.0,180,1,2,6.0,447,275.176941127883,8589,6686,1120,6564,1816,711,4238,32.592,-85.5189
131,612.7217215630914,2018.0,72,3,2,6.0,447,138.14531990866672,8589,1764,2541,6564,1816,1700,4238,32.59,-85.48
131,746.9546942518701,2019.0,72,8,2,6.0,7622,87.96696312579473,8589,1764,2541,6564,1816,2026,4238,32.59,-85.48
131,739.8383953097043,2019.0,72,8,2,6.0,663,118.0713100863894,8589,1764,2541,6564,1816,869,4238,32.59,-85.48
131,710.8578864633373,2019.0,72,8,2,6.0,7622,101.36725452163928,8589,1764,2541,6564,1816,1115,4238,32.59,-85.48
131,774.9397178097581,2020.0,116,11,2,6.0,7622,75.56710399514886,8589,1764,2134,6564,498,1336,4238,32.59,-85.48
131,715.7472723285367,2018.0,34,2,2,6.0,7622,140.3940152056856,8589,1764,2541,6564,260,1700,4238,32.59,-85.48
131,639.6060539101314,2017.0,103,10,2,6.0,7622,129.47700000786332,8589,6686,2541,6564,1816,1700,4238,32.59,-85.48
131,647.5116879825199,2018.0,134,18,2,6.0,7622,156.60659055435667,8589,1764,2541,6564,1854,1115,4238,32.59,-85.48
131,504.5914639884551,2018.0,179,9,2,6.0,7622,136.24697333359362,8589,1764,2134,6564,1816,2026,4238,32.59,-85.48
131,665.6903304836409,2018.0,134,6,2,6.0,663,143.35423890276394,8589,6686,2541,6564,1816,1115,4238,32.59,-85.48
131,786.3844602215556,2020.0,169,30,2,6.0,7622,41.07820290537215,8589,1764,2541,6564,498,2026,4238,32.59,-85.48
131,206.72696539530645,2006.0,484,5,2,6.0,7622,372.4405784974477,8589,6686,1120,766,1854,1336,4238,32.6099,-85.4808
131,703.4774482922774,2019.0,484,21,2,6.0,663,43.60017295214103,8589,1764,3088,6564,1854,42,4238,32.59,-85.48
131,634.2958183743912,2012.0,484,15,2,6.0,7622,193.55895568534896,8589,1764,3088,6564,1854,1336,4238,32.59,-85.48
131,504.5914639884551,2017.0,696,10,2,6.0,7622,154.92391261534337,8589,1764,2134,6564,1816,1115,4238,32.59,-85.48
131,710.8578864633373,2017.0,347,2,2,6.0,663,183.00622631870397,8589,1764,2541,6564,1096,869,4238,32.59,-85.48
131,797.7089465917859,2017.0,484,10,2,6.0,663,154.64925250109326,8589,1764,3088,6564,498,1336,4238,32.59,-85.48
131,710.8578864633373,2017.0,484,15,2,6.0,7622,169.9550314617218,8589,1764,3088,6564,1854,1336,4238,32.59,-85.48
131,686.0324714581235,2017.0,484,15,2,6.0,7622,165.23749157962348,8589,1764,3088,6564,1854,1336,4238,32.59,-85.48
131,678.4563358306201,2017.0,484,15,2,6.0,7622,178.96315212853668,8589,1764,3088,6564,1854,1115,4238,32.59,-85.48
131,438.4650873979886,2012.0,262,6,2,6.0,663,230.86408319067178,8589,1764,2541,6564,306,1336,4238,32.59,-85.48
131,535.3760276341258,2018.0,128,6,2,6.0,7622,219.44043633859852,8589,1764,1120,6564,1816,1336,4238,32.59,-85.48
131,526.2787746732753,2020.0,55,13,2,6.0,663,102.75649025653045,8589,1764,2541,6564,260,41,4238,32.59,-85.48
131,372.004126372749,2013.0,421,6,2,6.0,7622,232.1321568392548,8589,1764,2134,6564,1816,869,4238,32.59,-85.48
131,626.2690929128136,2018.0,357,11,2,6.0,7622,146.8523558840844,8589,1764,2134,6564,1854,1700,4238,32.59,-85.48
131,746.9546942518701,2020.0,357,7,2,6.0,7622,160.63802303466016,8589,1764,2541,6564,1854,1336,4238,32.59,-85.48
131,678.4563358306201,2020.0,357,3,2,6.0,7622,164.8729856760288,8589,1764,2541,6564,1854,2026,4238,32.59,-85.48
131,593.3795845835343,2018.0,103,3,2,6.0,7622,119.6560997244179,8589,6686,2134,6564,1816,2026,4238,32.59,-85.48
131,584.948151632671,2015.0,182,3,2,6.0,663,187.8302191745405,8589,1764,2541,6564,260,1115,4238,32.59,-85.48
131,607.2412929205586,2020.0,116,8,2,6.0,7622,39.26830041633285,8589,6686,2134,6564,1854,869,4238,32.59,-85.48
131,925.5284508020421,2020.0,51,5,2,6.0,7622,11.99560749627551,8589,1764,2541,6564,498,2026,4238,32.59,-85.48
131,511.0120974478712,2017.0,204,12,3,4.0,7622,137.81294336754175,55,6686,2541,6564,1854,869,4238,32.592,-85.5189
131,639.7383976432874,2018.0,169,6,0,6.0,7622,197.76402135492603,8589,6686,2134,249,1816,2026,4238,32.562007,-85.66967
131,488.6754267916582,2015.0,72,4,2,6.0,7622,209.69059234254016,8589,6686,2541,6564,1816,711,4238,32.59,-85.48
131,746.9546942518701,2020.0,72,8,2,6.0,7622,126.75159918069598,8589,1764,2541,6564,1816,711,4238,32.59,-85.48
131,739.8383953097043,2020.0,72,5,2,6.0,663,105.65027590822285,8589,1764,2541,6564,1816,711,4238,32.59,-85.48
131,770.3271701526049,2019.0,72,2,2,6.0,7622,113.216214843922,8589,6686,2541,6564,1816,1336,4238,32.59,-85.48
131,660.5337042560994,2018.0,103,10,2,6.0,663,160.67971629647369,8589,6686,2541,6564,1816,2026,4238,32.59,-85.48
131,698.5256274407989,2018.0,34,4,2,6.0,663,115.8490699722477,8589,1764,2541,6564,260,711,4238,32.59,-85.48
131,634.2958183743912,2018.0,116,15,2,6.0,7622,175.66433867997972,8589,6686,2541,6564,1854,711,4238,32.59,-85.48
131,774.9397178097581,2020.0,134,4,2,6.0,7622,128.31261008453342,8589,1764,2541,6564,1854,2026,4238,32.59,-85.48
1290,555.5913431234486,2012.0,696,2,0,4.0,7622,291.60624680402606,8589,433,3088,6564,764,1115,4238,33.384664,-86.737847
1290,427.2057340925677,2011.0,696,48,2,4.0,7622,298.11085382472027,8589,6686,1120,6564,764,1115,4238,33.384664,-86.737847
1290,409.1661196322824,2005.0,262,7,0,6.0,7622,217.6266275239585,8589,6686,1120,6564,126,2026,4238,33.384664,-86.737847
1290,510.2322483725193,2010.0,1605,6,2,8.0,7622,298.3850809439604,8589,6686,3088,6564,1096,1336,4238,33.384664,-86.737847
1290,286.15884238952054,2011.0,163,2,0,5.0,7622,314.7723897437647,8589,6686,2134,6564,1816,1336,4238,33.384664,-86.737847
1290,400.85695684529026,2008.0,1605,6,0,6.0,7622,290.1836919883183,8589,6686,1120,6564,764,557,4238,33.384664,-86.737847
1290,478.2880542249682,2007.0,696,10,2,6.0,7622,302.64567588166767,8589,6686,1120,6564,764,2026,4238,33.384664,-86.737847
1290,570.1196405746146,2014.0,1605,14,0,8.0,7622,310.0146532068477,8589,6686,3088,1262,764,1336,4238,33.384664,-86.737847
1290,409.1661196322824,2011.0,371,2,0,4.0,7622,239.40839070924358,8589,6686,2134,6564,1854,1115,4238,33.384664,-86.737847
1290,409.1661196322824,2007.0,94,2,0,4.0,7622,242.27433593295208,8589,6686,1120,6564,126,1336,4238,33.384664,-86.737847
1290,427.2057340925677,2011.0,94,15,0,4.0,7622,287.5774499208799,8589,6686,1120,6564,126,869,4238,33.384664,-86.737847
1290,525.6682185974191,2009.0,22,2,0,6.0,7622,230.5431224751838,8589,6686,1120,6564,126,869,4238,33.384664,-86.737847
1290,427.2057340925677,2008.0,94,3,0,4.0,7622,237.91614211157025,8589,433,1120,6564,126,557,4238,33.384664,-86.737847
1290,371.21778108628945,2009.0,182,7,0,6.0,7622,328.50587539314006,8589,6686,3088,1262,1854,2026,4238,33.384664,-86.737847
1290,427.2057340925677,2006.0,182,2,2,8.0,7622,319.1848484471515,8589,6686,3088,1262,1854,1700,4238,33.384664,-86.737847
1290,129.7012936825149,1998.0,696,36,2,4.0,7622,359.9329177798128,8589,433,2541,6564,1593,158,4238,33.6035,-86.4668
1290,545.2546276614337,2002.0,1605,11,4,8.0,7622,119.3961356243167,8589,6686,2134,249,126,42,4238,34.657607,-87.782814
1290,221.40310048142786,2008.0,1605,57,5,6.0,7622,325.05517256251795,8589,6686,1120,6564,306,869,4238,33.455361,-86.962474
1290,781.8212349893031,2020.0,1371,20,2,8.0,7622,128.56872211955056,8589,1764,2541,6564,1096,869,4238,33.52,-86.79
1290,626.2690929128136,2017.0,421,3,2,8.0,7622,176.03999149100275,8589,1764,3088,6564,1096,869,4238,33.52,-86.79
1290,215.59053013643222,2007.0,421,12,5,4.0,7622,326.6722899082919,8589,6686,2134,6564,1816,1115,4238,33.455361,-86.962474
1290,205.21781242288765,2008.0,266,1,0,4.0,7622,364.04166146381607,8589,6686,2541,6564,1816,1700,4238,33.415861,-86.988407
1290,259.195716708657,1998.0,1605,30,0,8.0,7622,343.2938659618153,8589,6686,2541,1262,764,869,4238,33.649773,-86.610105
1290,727.9257673114247,2012.0,343,1,3,6.0,7622,175.45687755677812,8589,6686,2541,6564,1593,1700,4238,33.5884,-86.9597
1290,181.51729439204792,2005.0,1605,26,2,4.0,7622,327.06687776978833,8589,6686,2541,6564,1593,1700,4238,33.7677,-85.0133
1290,191.0932814573906,1999.0,1605,1,2,6.0,7622,285.21193376419205,8589,6686,2541,6564,1593,1700,4238,33.7677,-85.0133
1290,274.2089751757975,2002.0,1605,3,2,6.0,7622,266.67955726017215,8589,6686,2541,6564,1593,1700,4238,33.7677,-85.0133
1290,478.90938044343903,2008.0,696,7,1,6.0,7622,325.81644769054856,8589,6686,3088,6564,1593,1700,4238,32.9229,-86.545
1290,478.90938044343903,2018.0,421,43,1,6.0,7622,201.399189078741,8589,6686,2134,6564,1593,1115,4238,32.9229,-86.545
1290,626.2690929128136,2018.0,421,24,2,6.0,7622,158.2043340710601,8589,6686,1120,6564,1593,1336,4238,32.9229,-86.545
1290,693.4981618309929,2021.0,696,48,3,6.0,7622,43.8593315681713,8589,6686,1120,6564,1593,1700,4238,32.9229,-86.545
1290,470.50430595019736,2015.0,116,17,1,6.0,7622,256.18889277145036,8589,6686,2134,6564,1593,1336,4238,33.168322,-87.491902
1290,984.6728313863103,2019.0,357,3,3,6.0,7622,213.4761685505454,8589,6686,3088,6564,1593,2026,4238,33.168322,-87.491902
1290,678.4563358306201,2016.0,1371,25,2,6.0,7622,202.25021251958762,8589,1764,2541,6564,1096,1115,4238,33.52,-86.79
1290,283.89384873984136,2009.0,371,5,1,6.0,7622,332.6578055902208,8589,6686,3088,6564,1593,1700,4238,33.13435,-86.619515
1290,199.09879340579243,1997.0,1605,30,5,6.0,7622,297.2610272798504,8589,6686,2541,6564,1593,1700,4238,33.3224,-86.9657
1290,157.1645627252851,1976.0,1371,2,5,6.0,7622,13.418498054855641,8589,6686,2541,6564,1593,1700,4238,33.5179,-86.8372
1290,191.2525780299104,2003.0,696,67,2,4.0,7622,357.7808258194056,8589,6686,2541,6564,1593,1700,4238,33.5179,-86.8372
1290,107.17842339512124,1969.0,180,10,5,6.0,7622,108.85846071655718,8589,6686,2541,6564,1593,1700,4238,33.521,-86.8066
1290,612.7217215630914,2016.0,262,8,2,6.0,7622,224.5074562520201,8589,6686,2541,6564,1816,1336,4238,33.669601,-86.817617
1290,309.3716592588667,2013.0,266,23,0,4.0,7622,270.6201403533482,200,6686,2541,6564,1593,2026,4238,36.1379,-86.741
1290,691.1745810999404,2008.0,1371,27,2,8.0,447,261.73285335867206,8589,6686,3088,1262,764,2026,4238,34.0013,-86.9381
1290,188.01588165566804,2006.0,116,15,5,6.0,7622,305.30893269200334,8589,6686,2134,6564,1816,711,4238,33.455361,-86.962474
1290,206.72696539530645,2002.0,696,2,0,4.0,7622,301.23876070929754,8589,6686,2134,249,1816,711,4238,33.9135,-84.6859
1290,203.7005690331948,2009.0,179,23,5,4.0,7622,306.6845849703442,8589,6686,1120,6564,1816,2026,4238,33.455361,-86.962474
1290,174.81162742974814,2004.0,1371,2,2,6.0,7622,281.81063688566024,8589,6686,3088,766,1854,2026,4238,33.5979,-86.3432
1290,167.91428593070168,2009.0,421,7,5,6.0,7622,261.1503587944924,200,6686,2541,6564,1593,1700,4238,33.6053,-84.4813
1290,157.1645627252851,1995.0,262,1,1,6.0,7622,262.75824877661285,8589,6686,1120,766,1816,2026,4238,33.3538,-86.8254
1290,710.8578864633373,2014.0,357,8,2,8.0,7622,201.97658475285644,8589,1764,2541,6564,1096,2026,4238,33.52,-86.79
1290,400.85695684529026,2008.0,357,5,0,8.0,7622,318.12326940255497,8589,6686,1120,1262,1854,1336,4238,33.5554,-86.887
1290,462.39090709900125,2017.0,1605,4,2,6.0,101,187.40796546196648,8589,1764,2134,6564,257,711,4238,33.52,-86.79
1290,157.1645627252851,2008.0,371,45,2,6.0,7622,337.07924351194663,8589,6686,2134,1262,1816,1115,4238,33.3813,-86.7046
1290,248.82619220647558,1978.0,1605,229,2,8.0,7622,359.00006907663624,8589,6686,2541,1262,764,158,4238,33.1248,-86.8622
1290,652.8736176017975,2005.0,1605,1,2,6.0,447,226.91923437632605,8589,6686,2541,6564,1593,1700,4238,28.0091,-82.5034
1290,639.6060539101314,2012.0,357,7,2,8.0,7622,216.49042653475138,8589,1764,3088,6564,1096,1336,4238,33.52,-86.79
1290,598.9523248850409,2018.0,357,2,2,6.0,663,159.24510827781882,8589,1764,2541,6564,1096,1700,4238,33.52,-86.79
1290,372.004126372749,2011.0,180,1,0,6.0,7622,270.77877596644083,8589,6686,3088,6564,1854,1700,4238,33.5066,-86.7428
1290,184.80361062629362,1999.0,128,3,5,6.0,7622,306.7006969259302,8589,6686,2134,6564,1816,1700,4238,33.455361,-86.962474
1290,626.4034855758374,1954.0,1605,3,2,6.0,7622,79.68909463498947,8589,433,2541,6564,1593,1700,4238,33.5363,-87.051
1290,639.67222827258,2017.0,1605,229,2,6.0,7622,253.19328739442972,8589,6686,3088,6564,1593,1700,4238,33.521,-86.8066
1290,311.61205836321864,2011.0,1605,37,0,6.0,101,289.06080664228836,8589,6686,2134,6564,1854,2026,4238,33.5062,-86.8003
1290,526.4313330416346,1979.0,1371,49,3,8.0,7622,41.03572775486164,8589,6686,1120,6564,1593,1336,4238,33.4653,-86.8082
1290,206.6968606867854,2003.0,116,2,5,6.0,7622,355.8356560225632,8589,6686,1120,6564,1816,1700,4238,33.455361,-86.962474
1290,577.9961993969957,1970.0,1371,2,0,6.0,7622,127.23316987086352,8589,6686,2541,6564,1593,1700,4238,28.3648,-82.6757
1290,243.52213959956305,2009.0,484,5,0,6.0,7622,318.612650239053,8589,6686,3088,6564,1593,1700,4238,33.2663,-86.902
1290,248.82619220647558,1974.0,180,1,2,4.0,7622,98.4174482458734,8589,6686,1120,766,126,42,4238,33.158449,-86.942271
1290,191.2525780299104,1996.0,1371,52,0,8.0,7622,357.7808258194056,8589,6686,3088,1262,29,1336,4238,33.3813,-86.7046
1290,477.5023795315473,2020.0,696,46,1,6.0,7622,104.96631402683583,8589,6686,2134,6564,1593,1336,4238,32.9229,-86.545
1290,397.25461367940625,2018.0,266,43,1,6.0,7622,247.03375886635453,8589,6686,2134,6564,1593,869,4238,32.9229,-86.545
1290,757.6543757191695,2018.0,1605,229,3,6.0,7622,154.5106032457339,8589,6686,3088,6564,1593,711,4238,32.9229,-86.545
1290,551.7389949004083,2020.0,421,4,0,6.0,7622,87.76136899142983,8589,6686,2134,6564,1593,1700,4238,32.9229,-86.545
1290,665.6903304836409,2016.0,1371,16,2,6.0,7622,123.30312968837909,8589,1764,3088,6564,1096,869,4238,33.52,-86.79
1290,735.0663321693435,2010.0,1371,2,2,8.0,7622,158.33624673279348,8589,1764,1120,6564,498,869,4238,33.52,-86.79
1290,510.65347466557574,2017.0,266,23,1,6.0,7622,218.16993204630077,8589,6686,2134,6564,1593,1700,4238,33.168322,-87.491902
1290,283.3435054100408,2007.0,421,27,5,6.0,7622,301.6094851888142,8589,6686,1120,6564,1593,1700,4238,33.168322,-87.491902
1290,400.85695684529026,2015.0,163,1,0,6.0,447,253.19328739442972,8589,6686,2541,6564,1593,2026,4238,33.546749,-86.539801
1290,639.7119304939324,2008.0,22,2,2,6.0,7622,217.52358119717857,8589,6686,1120,6564,306,1336,4238,33.669601,-86.817617
